dataset,model,fold,balanced_accuracy,f1_macro,mae
PPMI,CBM-Transfer,0,0.6774891774891775,0.688019188019188,0.3230769230769231
PPMI,CBM-Scratch,0,0.7092352092352092,0.7026395173453998,0.2923076923076923
PPMI,LR,0,0.6183261183261183,0.598340666247643,0.0
PPMI,CBM-Transfer,1,0.5086580086580087,0.514509706321553,0.5384615384615384
PPMI,CBM-Scratch,1,0.49278499278499277,0.47908710674668126,0.5692307692307692
PPMI,LR,1,0.5692640692640693,0.5722779635823114,0.0
PPMI,CBM-Transfer,2,0.5541125541125541,0.5652357844967028,0.47692307692307695
PPMI,CBM-Scratch,2,0.6183261183261183,0.6082995951417004,0.4307692307692308
PPMI,LR,2,0.6176046176046176,0.6183398696075737,0.0
PPMI,CBM-Transfer,3,0.6746031746031745,0.673567977915804,0.3384615384615385
PPMI,CBM-Scratch,3,0.6572871572871574,0.644032711474572,0.38461538461538464
PPMI,LR,3,0.5533910533910533,0.5592818428184282,0.0
PPMI,CBM-Transfer,4,0.6392496392496393,0.6420757967269596,0.359375
PPMI,CBM-Scratch,4,0.6378066378066379,0.6280465831685343,0.390625
PPMI,LR,4,0.6060606060606061,0.5847672402294251,0.0
