experiment,model,repeat,accuracy,balanced_accuracy,f1_macro,auc_macro,asc_params
A4,DCM-DNN,0,0.648,0.648,0.60949807189673,0.876424,"[0.0, 0.009912596084177494]"
A4,LR,0,0.693,0.693,0.6694343019518451,0.8450079999999999,
A4,DCM-DNN,1,0.658,0.658,0.6381886581665686,0.73964,"[0.0, 0.002036117250099778]"
A4,LR,1,0.692,0.692,0.6681663822378514,0.844852,
A4,DCM-DNN,2,0.814,0.8140000000000001,0.8128019323671497,0.9062520000000001,"[0.0, -0.007061220705509186]"
A4,LR,2,0.693,0.693,0.6694343019518451,0.845188,
A4,DCM-DNN,3,0.745,0.7450000000000001,0.735553714225862,0.874604,"[0.0, 0.011621329002082348]"
A4,LR,3,0.693,0.693,0.6686665393137403,0.845944,
A4,DCM-DNN,4,0.641,0.641,0.6265050338590352,0.747528,"[0.0, 0.0022508276160806417]"
A4,LR,4,0.692,0.692,0.6681663822378514,0.8452520000000001,
