experiment,model,fold,eval_dataset,accuracy,balanced_accuracy,f1_macro,auc_macro,asc_nacc,asc_ppmi
B1,DualASC-DCM-DNN,0,NACC,0.9506172839506173,0.9502276786659795,0.9502059589211989,0.9957417678431129,"[0.0, 0.12390682846307755, -0.24950054287910461]","[0.0, -0.10465911775827408, 0.46708905696868896]"
B1,DualASC-DCM-DNN,0,PPMI,0.5327868852459017,0.5379984051036684,0.5444721944721945,0.7480810499584569,"[0.0, 0.12390682846307755, -0.24950054287910461]","[0.0, -0.10465911775827408, 0.46708905696868896]"
B1,DCM-DNN,0,NACC,0.9650205761316872,0.9648262543113829,0.9647496039296767,0.9980769349595885,,
B1,DCM-DNN,0,PPMI,0.5901639344262295,0.6009170653907496,0.5917981954217041,0.7604692269647341,,
B1,DualASC-DCM-DNN,1,NACC,0.9302788844621513,0.9308482116174424,0.9292395306844664,0.989707413240016,"[0.0, 0.048254769295454025, -0.27417269349098206]","[0.0, -0.006305154878646135, 0.45353221893310547]"
B1,DualASC-DCM-DNN,1,PPMI,0.6320754716981132,0.6274131274131275,0.6280294231513744,0.8143247950333429,"[0.0, 0.048254769295454025, -0.27417269349098206]","[0.0, -0.006305154878646135, 0.45353221893310547]"
B1,DCM-DNN,1,NACC,0.9302788844621513,0.9308599520137982,0.9291178807517134,0.9936037833786105,,
B1,DCM-DNN,1,PPMI,0.6509433962264151,0.6469301234007117,0.643271221532091,0.8221786600676951,,
B1,DualASC-DCM-DNN,2,NACC,0.953125,0.9535515606775427,0.9530077457863957,0.9940085444857165,"[0.0, 0.14882615208625793, -0.2536410689353943]","[0.0, -0.052545953541994095, 0.3355309069156647]"
B1,DualASC-DCM-DNN,2,PPMI,0.6145833333333334,0.6092165898617512,0.6055523423944477,0.7646863184409455,"[0.0, 0.14882615208625793, -0.2536410689353943]","[0.0, -0.052545953541994095, 0.3355309069156647]"
B1,DCM-DNN,2,NACC,0.943359375,0.9439064470870062,0.9430963955396177,0.9937176461636691,,
B1,DCM-DNN,2,PPMI,0.5625,0.5506912442396313,0.5461038961038961,0.7765249410675111,,
