exp,model,repeat,accuracy,balanced_accuracy,f1_macro,auc_macro
3.1_NACC_to_PPMI_with_ds,DCM-DNN,0,0.5709876543209876,0.5709876543209876,0.5765322018611897,0.7662465706447188
3.1_NACC_to_PPMI_with_ds,LR,0,0.5740740740740741,0.5740740740740741,0.580390947186628,0.792938385916781
3.1_NACC_to_PPMI_with_ds,DCM-DNN,1,0.558641975308642,0.5586419753086419,0.5555092288743616,0.7415123456790124
3.1_NACC_to_PPMI_with_ds,LR,1,0.5555555555555556,0.5555555555555556,0.5566870325541996,0.7769633058984912
3.1_NACC_to_PPMI_with_ds,DCM-DNN,2,0.5987654320987654,0.5987654320987654,0.6004157569963872,0.7633744855967078
3.1_NACC_to_PPMI_with_ds,LR,2,0.5987654320987654,0.5987654320987654,0.6014072083808283,0.786322588020119
3.1_NACC_to_PPMI_with_ds,DCM-DNN,3,0.5679012345679012,0.5679012345679012,0.5659016970016707,0.7608882030178327
3.1_NACC_to_PPMI_with_ds,LR,3,0.5771604938271605,0.5771604938271605,0.5772319549649721,0.7822073616826705
3.1_NACC_to_PPMI_with_ds,DCM-DNN,4,0.5833333333333334,0.5833333333333334,0.5826018598273479,0.7427269090077732
3.1_NACC_to_PPMI_with_ds,LR,4,0.5802469135802469,0.5802469135802469,0.5795172036078008,0.7765489254686786
3.2_NACC_to_PPMI_no_ds,DCM-DNN,0,0.5740740740740741,0.5740740740740741,0.578932878430936,0.7657464563328761
3.2_NACC_to_PPMI_no_ds,LR,0,0.5740740740740741,0.5740740740740741,0.580390947186628,0.792938385916781
3.2_NACC_to_PPMI_no_ds,DCM-DNN,1,0.5555555555555556,0.5555555555555555,0.5530467708262553,0.7571159122085049
3.2_NACC_to_PPMI_no_ds,LR,1,0.5555555555555556,0.5555555555555556,0.5566870325541996,0.7769633058984912
3.2_NACC_to_PPMI_no_ds,DCM-DNN,2,0.5679012345679012,0.5679012345679012,0.571188973627998,0.7517146776406035
3.2_NACC_to_PPMI_no_ds,LR,2,0.5987654320987654,0.5987654320987654,0.6014072083808283,0.786322588020119
3.2_NACC_to_PPMI_no_ds,DCM-DNN,3,0.5555555555555556,0.5555555555555555,0.5552715755663286,0.7706904435299498
3.2_NACC_to_PPMI_no_ds,LR,3,0.5771604938271605,0.5771604938271605,0.5772319549649721,0.7822073616826705
3.2_NACC_to_PPMI_no_ds,DCM-DNN,4,0.5833333333333334,0.5833333333333334,0.5882932446027987,0.7388831732967537
3.2_NACC_to_PPMI_no_ds,LR,4,0.5802469135802469,0.5802469135802469,0.5795172036078008,0.7765489254686786
3.3_PPMI_to_NACC_with_ds,DCM-DNN,0,0.6633333333333333,0.6633333333333334,0.6372501798845267,0.822704
3.3_PPMI_to_NACC_with_ds,LR,0,0.6213333333333333,0.6213333333333333,0.6264762471282427,0.8069113333333333
3.3_PPMI_to_NACC_with_ds,DCM-DNN,1,0.66,0.66,0.5891365720722985,0.8051513333333333
3.3_PPMI_to_NACC_with_ds,LR,1,0.548,0.548,0.517216844162565,0.7233373333333333
3.3_PPMI_to_NACC_with_ds,DCM-DNN,2,0.6413333333333333,0.6413333333333333,0.6126612899893823,0.8219759999999999
3.3_PPMI_to_NACC_with_ds,LR,2,0.5866666666666667,0.5866666666666667,0.5865105955733023,0.762464
3.3_PPMI_to_NACC_with_ds,DCM-DNN,3,0.636,0.636,0.6412626669459739,0.8145560000000001
3.3_PPMI_to_NACC_with_ds,LR,3,0.6953333333333334,0.6953333333333335,0.6767916893121537,0.8699346666666669
3.3_PPMI_to_NACC_with_ds,DCM-DNN,4,0.7146666666666667,0.7146666666666667,0.6768049833037741,0.8996853333333333
3.3_PPMI_to_NACC_with_ds,LR,4,0.636,0.636,0.5927776441858104,0.8137493333333333
3.4_PPMI_to_NACC_no_ds,DCM-DNN,0,0.716,0.7160000000000001,0.6753406215143265,0.8762300000000001
3.4_PPMI_to_NACC_no_ds,LR,0,0.6213333333333333,0.6213333333333333,0.6264762471282427,0.8069113333333333
3.4_PPMI_to_NACC_no_ds,DCM-DNN,1,0.7133333333333334,0.7133333333333334,0.6641635756098244,0.8776799999999999
3.4_PPMI_to_NACC_no_ds,LR,1,0.548,0.548,0.517216844162565,0.7233373333333333
3.4_PPMI_to_NACC_no_ds,DCM-DNN,2,0.6166666666666667,0.6166666666666667,0.6092977780000483,0.8115866666666668
3.4_PPMI_to_NACC_no_ds,LR,2,0.5866666666666667,0.5866666666666667,0.5865105955733023,0.762464
3.4_PPMI_to_NACC_no_ds,DCM-DNN,3,0.7386666666666667,0.7386666666666667,0.7345806952160142,0.8967646666666665
3.4_PPMI_to_NACC_no_ds,LR,3,0.6953333333333334,0.6953333333333335,0.6767916893121537,0.8699346666666669
3.4_PPMI_to_NACC_no_ds,DCM-DNN,4,0.6753333333333333,0.6753333333333335,0.6230618056982551,0.8358633333333333
3.4_PPMI_to_NACC_no_ds,LR,4,0.636,0.636,0.5927776441858104,0.8137493333333333
