exp,fold,model,accuracy,f1_macro,auc_macro,balanced_accuracy,binary_accuracy,binary_f1,binary_auc
3.1_NACC_to_PPMI,0,DCM-DNN,0.6329588014981273,0.6389731150192036,0.8369524049993687,0.6329588014981273,0.7940074906367042,0.8414985590778098,0.8858098724908471
3.1_NACC_to_PPMI,0,LR,0.602996254681648,0.6065191413268683,0.8308294407271809,0.602996254681648,0.8014981273408239,0.8454810495626822,0.891427850018937
3.1_NACC_to_PPMI,1,DCM-DNN,0.6292134831460674,0.6353664302600474,0.831187139670917,0.6292134831460675,0.797752808988764,0.8439306358381503,0.886314859234945
3.1_NACC_to_PPMI,1,LR,0.6104868913857678,0.6145651183383626,0.8318604553297142,0.6104868913857677,0.8014981273408239,0.8454810495626822,0.891427850018937
3.1_NACC_to_PPMI,2,DCM-DNN,0.6292134831460674,0.6304913295842117,0.8281151369776544,0.6292134831460673,0.8052434456928839,0.8461538461538461,0.8849892690316878
3.1_NACC_to_PPMI,2,LR,0.6067415730337079,0.6104714011359437,0.8320708664730884,0.6067415730337079,0.8014981273408239,0.8454810495626822,0.8928165635652063
3.1_NACC_to_PPMI,3,DCM-DNN,0.6367041198501873,0.6451267288015642,0.8372890628287674,0.6367041198501873,0.7940074906367042,0.84593837535014,0.8846736523166268
3.1_NACC_to_PPMI,3,LR,0.6142322097378277,0.6186201554320521,0.8317552497580273,0.6142322097378278,0.8014981273408239,0.8454810495626822,0.8911753566468881
3.1_NACC_to_PPMI,4,DCM-DNN,0.6292134831460674,0.6354413236766178,0.8315658797289904,0.6292134831460675,0.8014981273408239,0.8481375358166189,0.8824012119681859
3.1_NACC_to_PPMI,4,LR,0.602996254681648,0.6063378730759764,0.8307452762698313,0.602996254681648,0.8014981273408239,0.8454810495626822,0.8909859866178513
3.2_PPMI_to_NACC,0,DCM-DNN,0.816,0.8042042148789026,0.9435345000000002,0.816,0.8903333333333333,0.91243013042321,0.9871690000000001
3.2_PPMI_to_NACC,0,LR,0.8073333333333333,0.806523792716681,0.9264553333333335,0.8073333333333332,0.925,0.9438202247191011,0.9845605
3.2_PPMI_to_NACC,1,DCM-DNN,0.8006666666666666,0.7831947260698673,0.9216846666666667,0.8006666666666667,0.8923333333333333,0.9152897980592709,0.9811124999999999
3.2_PPMI_to_NACC,1,LR,0.8036666666666666,0.8013555831286453,0.9336106666666666,0.8036666666666666,0.9156666666666666,0.9358356581283287,0.9849135000000001
3.2_PPMI_to_NACC,2,DCM-DNN,0.793,0.7822005848828378,0.9080753333333332,0.793,0.911,0.9321818643637287,0.985941
3.2_PPMI_to_NACC,2,LR,0.853,0.8517024510295806,0.95436,0.8530000000000001,0.9423333333333334,0.9568686113188731,0.9878935
3.2_PPMI_to_NACC,3,DCM-DNN,0.8326666666666667,0.831218989520044,0.9424743333333332,0.8326666666666668,0.9166666666666666,0.9369959677419355,0.9814965
3.2_PPMI_to_NACC,3,LR,0.8266666666666667,0.8263493099643434,0.9419621666666668,0.8266666666666667,0.9323333333333333,0.9499630268671432,0.986525
3.2_PPMI_to_NACC,4,DCM-DNN,0.819,0.8180043652392337,0.9012289166666666,0.819,0.8973333333333333,0.9238754325259516,0.9764375
3.2_PPMI_to_NACC,4,LR,0.819,0.8182162073820054,0.9362611666666666,0.819,0.9253333333333333,0.9435483870967742,0.9875775
3.3_NACC_to_PPMI_no_ds_id,0,DCM-DNN,0.6292134831460674,0.6321238713748486,0.8332912511046585,0.6292134831460675,0.8014981273408239,0.844574780058651,0.8843580356015655
3.3_NACC_to_PPMI_no_ds_id,0,LR,0.602996254681648,0.6065191413268683,0.8308294407271809,0.602996254681648,0.8014981273408239,0.8454810495626822,0.891427850018937
3.3_NACC_to_PPMI_no_ds_id,1,DCM-DNN,0.6292134831460674,0.6346560559474287,0.8309556874132055,0.6292134831460675,0.797752808988764,0.8430232558139535,0.887072339351092
3.3_NACC_to_PPMI_no_ds_id,1,LR,0.6104868913857678,0.6145651183383626,0.8318604553297142,0.6104868913857677,0.8014981273408239,0.8454810495626822,0.891427850018937
3.3_NACC_to_PPMI_no_ds_id,2,DCM-DNN,0.6254681647940075,0.6282583650513568,0.8256322854858394,0.6254681647940075,0.8052434456928839,0.8470588235294118,0.8817699785380633
3.3_NACC_to_PPMI_no_ds_id,2,LR,0.6067415730337079,0.6104714011359437,0.8320708664730884,0.6067415730337079,0.8014981273408239,0.8454810495626822,0.8928165635652063
3.3_NACC_to_PPMI_no_ds_id,3,DCM-DNN,0.6217228464419475,0.6246483724116169,0.829714261667298,0.6217228464419476,0.797752808988764,0.8411764705882353,0.8847998990026511
3.3_NACC_to_PPMI_no_ds_id,3,LR,0.6142322097378277,0.6186201554320521,0.8317552497580273,0.6142322097378278,0.8014981273408239,0.8454810495626822,0.8911753566468881
3.3_NACC_to_PPMI_no_ds_id,4,DCM-DNN,0.6217228464419475,0.6253073604706264,0.8294828094095864,0.6217228464419476,0.797752808988764,0.8421052631578947,0.8853048857467491
3.3_NACC_to_PPMI_no_ds_id,4,LR,0.602996254681648,0.6063378730759764,0.8307452762698313,0.602996254681648,0.8014981273408239,0.8454810495626822,0.8909859866178513
