dataset,model,fold,balanced_accuracy,f1_macro,ece
NACC,StaticIRT_DNN,0,0.9533333333333335,0.9528180777497429,0.01660804867744446
NACC,DCM-DNN,0,0.9433333333333334,0.9422710072864872,0.02001189768314364
NACC,PlainDNN,0,0.9333333333333332,0.9325812340635723,0.012547015349070255
NACC,LR,0,0.9866666666666667,0.9866127957444771,0.04199838643750391
NACC,RF,0,0.9199999999999999,0.9193454108697828,0.11299999999999996
NACC,StaticIRT_DNN,1,0.93,0.9283906194483609,0.027070555686950715
NACC,DCM-DNN,1,0.9533333333333335,0.9529565114350041,0.023094730774561596
NACC,PlainDNN,1,0.9466666666666667,0.9462360130685762,0.02893300056457521
NACC,LR,1,0.9700000000000001,0.969885114397845,0.0400272737495275
NACC,RF,1,0.9233333333333333,0.9227884158093665,0.11466666666666672
NACC,StaticIRT_DNN,2,0.98,0.9799997499937497,0.035234193007151283
NACC,DCM-DNN,2,0.9499999999999998,0.9493827528364625,0.026539776623249068
NACC,PlainDNN,2,0.96,0.9599186341203149,0.03376801898082098
NACC,LR,2,0.9966666666666667,0.9966665833312499,0.04234828431386331
NACC,RF,2,0.9366666666666666,0.9359524098498565,0.1242333333333333
NACC,StaticIRT_DNN,3,0.9766666666666666,0.976596303467001,0.03032136122385662
NACC,DCM-DNN,3,0.9633333333333334,0.9631617756820762,0.03514470398426056
NACC,PlainDNN,3,0.9633333333333334,0.9631617756820762,0.03306192358334858
NACC,LR,3,0.9833333333333334,0.9833229101521784,0.037388196514061
NACC,RF,3,0.9566666666666667,0.9568959766520742,0.14876666666666669
NACC,StaticIRT_DNN,4,0.9499999999999998,0.9499489987249682,0.034235419631004335
NACC,DCM-DNN,4,0.9333333333333335,0.9335034864711574,0.04006742537021637
NACC,PlainDNN,4,0.9633333333333333,0.9634773657406249,0.03432114998499554
NACC,LR,4,0.9933333333333333,0.9933162470475904,0.04953945076490623
NACC,RF,4,0.93,0.9294032699857636,0.12126666666666663
NACC,StaticIRT_DNN,mean,0.958,0.9575507498767646,0.02869391564528149
NACC,DCM-DNN,mean,0.9486666666666667,0.9482551067422375,0.028971706887086245
NACC,PlainDNN,mean,0.9533333333333334,0.9530750045350329,0.028526221692562116
NACC,LR,mean,0.9860000000000001,0.9859607301346681,0.042260318355972395
NACC,RF,mean,0.9333333333333332,0.9328770966333687,0.12438666666666667
PPMI,StaticIRT_DNN,0,0.6327561327561327,0.6167752715121136,0.12761734403096714
PPMI,DCM-DNN,0,0.6457431457431457,0.6369859540591248,0.18265248903861414
PPMI,PlainDNN,0,0.6147186147186147,0.6038758500792555,0.18973475878055285
PPMI,LR,0,0.6183261183261183,0.598340666247643,0.16855407788633658
PPMI,RF,0,0.6796536796536796,0.6690270323991254,0.16046153846153846
PPMI,StaticIRT_DNN,1,0.5216450216450216,0.5128598365807668,0.21608935777957627
PPMI,DCM-DNN,1,0.5245310245310245,0.527107121425107,0.14669203391441935
PPMI,PlainDNN,1,0.525974025974026,0.5170632861343811,0.12019770695612983
PPMI,LR,1,0.5692640692640693,0.5722779635823114,0.16789998874299247
PPMI,RF,1,0.5851370851370852,0.5788537549407115,0.05446153846153851
PPMI,StaticIRT_DNN,2,0.5707070707070706,0.5773215544772096,0.15171081744707549
PPMI,DCM-DNN,2,0.5425685425685426,0.5017678148350647,0.04990911208666286
PPMI,PlainDNN,2,0.6031746031746031,0.5798138176186957,0.06680661760843719
PPMI,LR,2,0.6176046176046176,0.6183398696075737,0.08432624360537275
PPMI,RF,2,0.5865800865800866,0.5884711779448621,0.11461538461538463
PPMI,StaticIRT_DNN,3,0.5815295815295816,0.5743938601081459,0.18249712999050435
PPMI,DCM-DNN,3,0.6118326118326118,0.6042015337346688,0.11990719437599182
PPMI,PlainDNN,3,0.6406926406926406,0.6171436588103255,0.09874881185018101
PPMI,LR,3,0.5533910533910533,0.5592818428184282,0.1429634923284657
PPMI,RF,3,0.6601731601731601,0.6618330086233117,0.11446153846153846
PPMI,StaticIRT_DNN,4,0.6378066378066378,0.6205365402405181,0.11602182500064373
PPMI,DCM-DNN,4,0.637085137085137,0.6247079964061096,0.125056526158005
PPMI,PlainDNN,4,0.6212121212121212,0.5993320405085111,0.12200577091425657
PPMI,LR,4,0.6060606060606061,0.5847672402294251,0.12254924409471804
PPMI,RF,4,0.6233766233766234,0.6153632473067875,0.06906249999999994
PPMI,StaticIRT_DNN,mean,0.5888888888888889,0.5803774125837508,0.1587872948497534
PPMI,DCM-DNN,mean,0.5923520923520924,0.5789540840920149,0.12484347111473863
PPMI,PlainDNN,mean,0.6011544011544012,0.5834457306302337,0.11949873322191149
PPMI,LR,mean,0.5929292929292929,0.5866015164970764,0.13725860933157713
PPMI,RF,mean,0.6269841269841269,0.6227096442429596,0.1026125
