scheme,model,train_dataset,test_dataset,accuracy,auc,f1
A,DCM-DNN,NACC,PPMI,0.3333333333333333,0.7144299962125993,0.0
A,DCM-DNN,PPMI,NACC,0.0,0.7586750000000001,0.0
A,LR,NACC,PPMI,0.3333333333333333,0.0,0.0
A,LR,PPMI,NACC,0.0,0.0,0.0
B,DCM-DNN,NACC,PPMI,0.6666666666666666,0.33026133064007074,0.8
B,DCM-DNN,PPMI,NACC,0.5383333333333333,0.2029625,0.6998916576381365
B,LR,NACC,PPMI,0.3333333333333333,0.0,0.0
B,LR,PPMI,NACC,0.3333333333333333,0.0,0.0
C,DCM-DNN,NACC,PPMI,0.7902621722846442,0.8800656482767328,0.8323353293413174
C,DCM-DNN,PPMI,NACC,0.8066666666666666,0.9669375,0.8725274725274725
C,LR,NACC,PPMI,0.8014981273408239,0.8890291629844715,0.8454810495626822
C,LR,PPMI,NACC,0.9466666666666667,0.9896375,0.9607843137254902
