experiment,fold,model,balanced_accuracy,f1_macro,auc_macro
V2,0,Ensemble-DCM-DNN,0.6926406926406927,0.678455936648588,0.7731719185207556
V2,0,Ensemble-PlainDNN,0.6464646464646465,0.6247016247016247,0.7696650894325314
V2,0,DCM-DNN-single,0.6457431457431457,0.6369859540591248,0.7564012215175007
V2,0,LR,0.6183261183261183,0.598340666247643,0.7468035840128864
V2,0,RF,0.6796536796536796,0.6690270323991254,0.8172631631933958
V2,0,XGBoost,0.6017316017316018,0.6037549407114625,0.7934158864391422
V2,1,Ensemble-DCM-DNN,0.5245310245310245,0.5243128964059197,0.7412580959092588
V2,1,Ensemble-PlainDNN,0.5245310245310245,0.5243128964059197,0.7398906003557166
V2,1,DCM-DNN-single,0.5245310245310245,0.527107121425107,0.7343367227088158
V2,1,LR,0.5692640692640693,0.5722779635823114,0.78600791972885
V2,1,RF,0.5851370851370852,0.5788537549407115,0.7789187556629417
V2,1,XGBoost,0.4920634920634921,0.48809523809523814,0.7145709587570054
V2,2,Ensemble-DCM-DNN,0.6038961038961038,0.5782030834662414,0.7743967918386523
V2,2,Ensemble-PlainDNN,0.6038961038961038,0.5782030834662414,0.7789858720091279
V2,2,DCM-DNN-single,0.5425685425685426,0.5017678148350647,0.759840934259539
V2,2,LR,0.6176046176046176,0.6183398696075737,0.786930769488909
V2,2,RF,0.6017316017316018,0.6054625199362041,0.8067552602436323
V2,2,XGBoost,0.6782106782106782,0.6773368845923039,0.8372093023255814
V2,3,Ensemble-DCM-DNN,0.5952380952380952,0.5755016471997604,0.8114869626497533
V2,3,Ensemble-PlainDNN,0.5945165945165946,0.5689016865487453,0.8025101513473606
V2,3,DCM-DNN-single,0.6118326118326118,0.6042015337346688,0.7920987281452397
V2,3,LR,0.5533910533910533,0.5592818428184282,0.7679787912346052
V2,3,RF,0.6760461760461761,0.6788537549407114,0.8170743984697473
V2,3,XGBoost,0.5995670995670995,0.6038619941305581,0.777752609147958
V2,4,Ensemble-DCM-DNN,0.5901875901875901,0.5658914728682171,0.8109835900533575
V2,4,Ensemble-PlainDNN,0.6060606060606061,0.5876750700280112,0.8091546696197861
V2,4,DCM-DNN-single,0.637085137085137,0.6247079964061096,0.7967297560320817
V2,4,LR,0.6060606060606061,0.5847672402294251,0.78559683210846
V2,4,RF,0.6233766233766234,0.6153632473067875,0.7974554515252189
V2,4,XGBoost,0.7178932178932179,0.7162180814354727,0.8268314372965536
